pedido_id,route_id,stop_id,station_code,fecha,hora_salida_utc,tipo_parada,lat,lng,zone_id,distancia_deposito_km,num_paquetes,volumen_total_m3,volumen_promedio_m3,tiempo_servicio_seg,tiene_ventana_horaria,duracion_ventana_min,secuencia_real,capacidad_vehiculo_m3,retrasado_estimado
AMZ-00001,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,AC,DLA3,2018-08-03,15:30:00,Dropoff,34.08462,-118.286073,A-3.1D,15.662,4,0.0312,0.0078,79.0,0,0.0,66,3.3131,1
AMZ-00002,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,AE,DLA3,2018-08-03,15:30:00,Dropoff,34.085326,-118.280375,A-3.1A,15.27,1,0.0053,0.0053,142.0,0,0.0,135,3.3131,0
AMZ-00003,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,AF,DLA3,2018-08-03,15:30:00,Dropoff,34.091894,-118.277919,A-3.2C,15.515,1,0.0057,0.0057,86.0,0,0.0,48,3.3131,0
AMZ-00004,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,AG,DLA3,2018-08-03,15:30:00,Dropoff,34.085047,-118.280654,A-3.1A,15.274,2,0.007,0.0035,43.5,0,0.0,137,3.3131,0
AMZ-00005,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,AK,DLA3,2018-08-03,15:30:00,Dropoff,34.082989,-118.277528,A-4.3A,14.907,1,0.0014,0.0014,22.0,1,480.0,127,3.3131,0
AMZ-00006,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,AQ,DLA3,2018-08-03,15:30:00,Dropoff,34.084726,-118.273762,A-5.2C,14.734,1,0.0046,0.0046,119.0,0,0.0,15,3.3131,0
AMZ-00007,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,AS,DLA3,2018-08-03,15:30:00,Dropoff,34.085074,-118.273794,A-5.2C,14.759,1,0.0006,0.0006,51.0,0,0.0,16,3.3131,0
AMZ-00008,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,AW,DLA3,2018-08-03,15:30:00,Dropoff,34.089079,-118.272216,A-5.1D,14.908,1,0.0095,0.0095,10.0,0,0.0,102,3.3131,0
AMZ-00009,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,AZ,DLA3,2018-08-03,15:30:00,Dropoff,34.085005,-118.274351,A-5.2C,14.796,3,0.0602,0.0201,72.7,0,0.0,18,3.3131,0
AMZ-00010,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,BA,DLA3,2018-08-03,15:30:00,Dropoff,34.082179,-118.277971,A-4.3A,14.891,2,0.0158,0.0079,21.0,0,0.0,126,3.3131,0
AMZ-00011,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,BI,DLA3,2018-08-03,15:30:00,Dropoff,34.09114,-118.278341,A-3.2C,15.496,1,0.0104,0.0104,168.0,1,480.0,54,3.3131,0
AMZ-00012,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,BU,DLA3,2018-08-03,15:30:00,Dropoff,34.08316,-118.281118,A-3.3A,15.192,2,0.0973,0.0486,76.5,0,0.0,146,3.3131,0
AMZ-00013,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,BX,DLA3,2018-08-03,15:30:00,Dropoff,34.083007,-118.281421,A-3.3A,15.206,4,0.0251,0.0063,44.0,0,0.0,147,3.3131,1
AMZ-00014,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,CC,DLA3,2018-08-03,15:30:00,Dropoff,34.083666,-118.282622,A-3.3B,15.339,8,0.0782,0.0098,43.4,0,0.0,69,3.3131,1
AMZ-00015,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,CJ,DLA3,2018-08-03,15:30:00,Dropoff,34.091839,-118.276805,A-4.1C,15.43,2,0.0107,0.0053,47.5,0,0.0,47,3.3131,0
AMZ-00016,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,CL,DLA3,2018-08-03,15:30:00,Dropoff,34.091879,-118.273086,A-4.3C,15.163,1,0.0133,0.0133,57.0,0,0.0,33,3.3131,0
AMZ-00017,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,CN,DLA3,2018-08-03,15:30:00,Dropoff,34.0944,-118.268921,A-4.2D,15.042,3,0.0218,0.0073,24.3,0,0.0,117,3.3131,1
AMZ-00018,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,CP,DLA3,2018-08-03,15:30:00,Dropoff,34.088856,-118.278795,A-3.1C,15.379,1,0.0104,0.0104,91.0,0,0.0,84,3.3131,0
AMZ-00019,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,CY,DLA3,2018-08-03,15:30:00,Dropoff,34.092857,-118.27891,A-3.3C,15.653,2,0.0215,0.0107,28.0,0,0.0,55,3.3131,0
AMZ-00020,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,CZ,DLA3,2018-08-03,15:30:00,Dropoff,34.090283,-118.279213,A-3.1C,15.503,1,0.0057,0.0057,67.0,0,0.0,81,3.3131,0
AMZ-00021,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,DF,DLA3,2018-08-03,15:30:00,Dropoff,34.087753,-118.273722,A-5.3D,14.93,1,0.0028,0.0028,31.0,0,0.0,93,3.3131,0
AMZ-00022,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,DI,DLA3,2018-08-03,15:30:00,Dropoff,34.084626,-118.279776,A-3.3A,15.181,1,0.0006,0.0006,83.0,0,0.0,144,3.3131,0
AMZ-00023,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,DJ,DLA3,2018-08-03,15:30:00,Dropoff,34.086547,-118.271232,A-5.1B,14.666,2,0.0153,0.0076,63.0,0,0.0,4,3.3131,0
AMZ-00024,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,DL,DLA3,2018-08-03,15:30:00,Dropoff,34.087425,-118.273904,A-5.3D,14.921,1,0.0041,0.0041,46.0,0,0.0,94,3.3131,0
AMZ-00025,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,DM,DLA3,2018-08-03,15:30:00,Dropoff,34.087212,-118.274209,A-5.3D,14.93,1,0.0039,0.0039,46.0,0,0.0,95,3.3131,0
AMZ-00026,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,DP,DLA3,2018-08-03,15:30:00,Dropoff,34.091219,-118.273498,A-4.3C,15.147,2,0.0069,0.0034,26.0,0,0.0,32,3.3131,0
AMZ-00027,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,DS,DLA3,2018-08-03,15:30:00,Dropoff,34.090444,-118.271007,A-4.1D,14.913,1,0.0104,0.0104,73.0,1,480.0,111,3.3131,0
AMZ-00028,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,DX,DLA3,2018-08-03,15:30:00,Dropoff,34.089986,-118.274282,A-5.3C,15.121,3,0.0151,0.005,37.0,0,0.0,29,3.3131,1
AMZ-00029,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,ED,DLA3,2018-08-03,15:30:00,Dropoff,34.088208,-118.273726,A-5.3D,14.96,1,0.0133,0.0133,26.0,0,0.0,96,3.3131,0
AMZ-00030,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,EG,DLA3,2018-08-03,15:30:00,Dropoff,34.086581,-118.278897,A-3.1A,15.239,3,0.0056,0.0019,88.7,0,0.0,139,3.3131,1
AMZ-00031,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,EI,DLA3,2018-08-03,15:30:00,Dropoff,34.08372,-118.273252,A-5.1C,14.631,1,0.0192,0.0192,31.0,0,0.0,14,3.3131,0
AMZ-00032,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,EK,DLA3,2018-08-03,15:30:00,Dropoff,34.08654,-118.281893,A-3.2B,15.462,1,0.0056,0.0056,56.0,0,0.0,75,3.3131,0
AMZ-00033,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,EQ,DLA3,2018-08-03,15:30:00,Dropoff,34.090612,-118.278,A-3.1C,15.436,1,0.0226,0.0226,112.0,1,720.0,83,3.3131,0
AMZ-00034,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,ES,DLA3,2018-08-03,15:30:00,Dropoff,34.095425,-118.277437,A-3.3C,15.721,1,0.0057,0.0057,43.0,0,0.0,57,3.3131,0
AMZ-00035,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,EX,DLA3,2018-08-03,15:30:00,Dropoff,34.089928,-118.28075,A-3.3D,15.594,3,0.0324,0.0108,21.7,0,0.0,60,3.3131,1
AMZ-00036,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,FB,DLA3,2018-08-03,15:30:00,Dropoff,34.088479,-118.271378,A-5.1D,14.806,2,0.0084,0.0042,23.5,1,480.0,103,3.3131,0
AMZ-00037,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,FC,DLA3,2018-08-03,15:30:00,Dropoff,34.084597,-118.27265,A-5.1C,14.642,3,0.0044,0.0015,28.3,0,0.0,7,3.3131,0
AMZ-00038,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,FD,DLA3,2018-08-03,15:30:00,Dropoff,34.086716,-118.272574,A-5.1C,14.776,1,0.0057,0.0057,56.0,1,480.0,11,3.3131,0
AMZ-00039,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,FG,DLA3,2018-08-03,15:30:00,Dropoff,34.08592,-118.279719,A-3.1A,15.258,10,0.112,0.0112,35.8,0,0.0,134,3.3131,1
AMZ-00040,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,FI,DLA3,2018-08-03,15:30:00,Dropoff,34.083981,-118.272817,A-5.1C,14.615,1,0.0059,0.0059,20.0,0,0.0,13,3.3131,0
AMZ-00041,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,FL,DLA3,2018-08-03,15:30:00,Dropoff,34.09373,-118.276616,A-4.1C,15.545,1,0.0011,0.0011,40.0,0,0.0,46,3.3131,0
