id,descripcion,area_esperada
CASO-001,Detectar matrículas de vehículos a partir de imágenes capturadas por cámaras de seguridad.,Visión por computador
CASO-002,"Analizar comentarios de clientes para identificar si expresan opiniones positivas, negativas o neutrales.",Procesamiento de lenguaje natural
CASO-003,Predecir qué clientes tienen mayor probabilidad de abandonar un servicio de telefonía móvil.,Aprendizaje automático predictivo
CASO-004,Determinar la ruta de entrega más corta para una flota de vehículos de una empresa de logística.,Búsqueda y optimización
CASO-005,Recomendar películas a un usuario utilizando su historial de visualización y sus preferencias.,Sistemas de recomendación
CASO-006,Detectar posibles fraudes analizando automáticamente transacciones bancarias.,Aprendizaje automático predictivo
CASO-007,Identificar enfermedades de plantas mediante fotografías de sus hojas.,Visión por computador
CASO-008,Crear un chatbot capaz de responder preguntas frecuentes de los estudiantes de una universidad.,Procesamiento de lenguaje natural
CASO-009,Predecir la demanda mensual de energía eléctrica utilizando registros históricos de consumo.,Aprendizaje automático predictivo
CASO-010,Construir un sistema que sugiera posibles diagnósticos médicos a partir de síntomas ingresados por un profesional.,Sistemas expertos
CASO-011,Reconocer rostros para permitir el ingreso autorizado a un laboratorio.,Visión por computador
CASO-012,Clasificar automáticamente correos electrónicos como spam o correo legítimo según su contenido.,Procesamiento de lenguaje natural
CASO-013,Programar un robot móvil para desplazarse dentro de una bodega evitando obstáculos.,Robótica y sistemas autónomos
CASO-014,"Asignar automáticamente horarios de clase evitando conflictos entre profesores, salones y grupos.",Búsqueda y optimización
CASO-015,Detectar fallas futuras en maquinaria industrial utilizando información histórica de sensores.,Aprendizaje automático predictivo
CASO-016,"Extraer nombres, fechas y organizaciones mencionadas dentro de contratos escritos.",Procesamiento de lenguaje natural
CASO-017,Identificar peatones y señales de tránsito en las imágenes capturadas por un vehículo autónomo.,Visión por computador
CASO-018,Construir un sistema basado en reglas que determine si una solicitud de crédito cumple las políticas de una organización.,Sistemas expertos
CASO-019,Diseñar un dron capaz de ajustar automáticamente su trayectoria para llegar a un destino.,Robótica y sistemas autónomos
CASO-020,Seleccionar la combinación óptima de productos que puede transportar un vehículo respetando su capacidad máxima.,Búsqueda y optimización
