pedido_id,distancia_km,volumen_m3,prioridad,ventana_min,cadena_frio,hora_pico,zona_rural,trafico_index,retrasado
PED-00001,19.54,0.4811,baja,139,0,0,1,0.881,1
PED-00002,9.38,0.0755,baja,102,1,0,1,0.031,1
PED-00003,10.83,0.0942,alta,154,1,0,0,0.48,0
PED-00004,5.44,0.0863,baja,123,0,1,1,0.144,0
PED-00005,21.21,0.2571,media,213,0,0,1,0.691,0
PED-00006,11.21,0.3904,media,205,0,1,0,0.586,0
PED-00007,13.53,0.1975,media,52,0,1,0,0.512,0
PED-00008,2.47,0.2393,media,85,0,1,0,0.215,0
PED-00009,16.96,0.1698,media,157,1,0,1,0.488,0
PED-00010,9.05,0.5046,baja,32,0,0,0,0.523,0
PED-00011,6.67,0.1298,media,36,0,0,0,0.633,0
PED-00012,12.35,0.4521,media,144,0,0,1,0.762,0
PED-00013,3.71,0.0393,media,196,0,0,0,0.567,0
PED-00014,4.76,0.0504,media,124,1,0,0,0.945,0
PED-00015,5.36,0.5201,alta,113,0,0,1,0.478,1
PED-00016,20.84,0.0733,baja,36,0,0,0,0.136,0
PED-00017,12.3,0.0391,alta,190,0,1,1,0.029,0
PED-00018,3.82,0.2912,media,192,1,1,0,0.405,0
PED-00019,15.16,0.2297,alta,155,0,1,1,0.745,1
PED-00020,16.21,0.221,alta,107,0,0,0,0.086,0
PED-00021,7.71,0.2022,media,85,0,1,1,0.364,1
PED-00022,13.54,0.1105,baja,205,1,1,0,0.326,0
PED-00023,8.85,0.1674,baja,176,0,0,0,0.634,1
PED-00024,4.52,0.0832,baja,56,0,0,0,0.008,0
PED-00025,15.13,0.0337,media,109,0,0,0,0.515,0
PED-00026,21.09,0.1298,media,148,0,1,0,0.052,1
PED-00027,15.63,0.4275,media,170,1,1,0,0.375,0
PED-00028,24.1,0.0995,media,232,0,0,0,0.482,0
PED-00029,18.26,0.1059,media,197,0,1,1,0.343,0
PED-00030,12.54,0.2434,alta,45,0,1,0,0.868,1
PED-00031,14.86,0.1946,media,119,0,1,0,0.655,0
PED-00032,12.18,0.4083,baja,43,0,0,0,0.991,0
PED-00033,11.66,0.2281,baja,66,0,1,0,0.46,0
